Sample,Genotype
GB0001,Genotype000
GB0002,Genotype001
GB0072,Genotype001
GB0075,Genotype001
GB0089,Genotype001
GB0100,Genotype001
GB0101,Genotype001
GB0104,Genotype001
GB0108,Genotype001
GB0115,Genotype001
GB0119,Genotype001
GB0122,Genotype001
GB0123,Genotype001
GB0126,Genotype001
GB0128,Genotype001
GB0145,Genotype001
GB0147,Genotype001
GB0152,Genotype001
GB0162,Genotype001
GB0165,Genotype001
GB0178,Genotype001
GB0179,Genotype001
GB0181,Genotype001
GB0184,Genotype001
GB0195,Genotype001
GB0196,Genotype001
GB0205,Genotype001
GB0207,Genotype001
GB0218,Genotype001
GB0221,Genotype001
GB0238,Genotype001
GB0242,Genotype001
GB0244,Genotype001
GB0245,Genotype001
GB0246,Genotype001
GB0248,Genotype001
GB0253,Genotype001
GB0254,Genotype001
GB0255,Genotype001
GB0258,Genotype001
GB0261,Genotype001
GB0267,Genotype001
GB0292,Genotype001
GB0303,Genotype001
GB0304,Genotype001
GB0325,Genotype001
GB0333,Genotype001
GB0339,Genotype001
GB0340,Genotype001
GB0355,Genotype001
GB0359,Genotype001
GB0366,Genotype001
GB0379,Genotype001
GB0388,Genotype001
GB0390,Genotype001
GB0391,Genotype001
GB0396,Genotype001
GB0397,Genotype001
GB0413,Genotype001
GB0429,Genotype001
GB0433,Genotype001
GB0435,Genotype001
GB0440,Genotype001
GB0441,Genotype001
GB0442,Genotype001
GB0443,Genotype001
GB0446,Genotype001
GB0447,Genotype001
GB0448,Genotype001
GB0450,Genotype001
GB0456,Genotype001
GB0462,Genotype001
GB0463,Genotype001
GB0468,Genotype001
GB0470,Genotype001
GB0472,Genotype001
GB0473,Genotype001
GB0474,Genotype001
GB0480,Genotype001
GB0482,Genotype001
GB0488,Genotype001
GB0491,Genotype001
GB0492,Genotype001
GB0494,Genotype001
GB0496,Genotype001
GB0498,Genotype001
GB0501,Genotype001
GB0503,Genotype001
GB0506,Genotype001
GB0521,Genotype001
GB0522,Genotype001
GB0528,Genotype001
GB0530,Genotype001
GB0533,Genotype001
GB0538,Genotype001
GB0550,Genotype001
GB0551,Genotype001
GB0552,Genotype001
GB0553,Genotype001
GB0554,Genotype001
GB0555,Genotype001
GB0557,Genotype001
GB0558,Genotype001
GB0559,Genotype001
GB0560,Genotype001
GB0561,Genotype001
GB0562,Genotype001
GB0564,Genotype001
GB0565,Genotype001
GB0566,Genotype001
GB0567,Genotype001
GB0570,Genotype001
GB0572,Genotype001
GB0573,Genotype001
GB0574,Genotype001
GB0575,Genotype001
GB0576,Genotype001
GB0577,Genotype001
GB0578,Genotype001
GB0580,Genotype001
GB0581,Genotype001
GB0583,Genotype001
GB0584,Genotype001
GB0585,Genotype001
GB0586,Genotype001
GB0589,Genotype001
GB0590,Genotype001
GB0591,Genotype001
GB0592,Genotype001
GB0594,Genotype001
GH1523,Genotype001
GH1693,Genotype001
GH1697,Genotype001
GH1701,Genotype001
GH1702,Genotype001
GH1706,Genotype001
GH1726,Genotype001
GH1731,Genotype001
GH1733,Genotype001
GH1759,Genotype001
GH1760,Genotype001
GH1763,Genotype001
ZGH0860,Genotype001
GB0003,Genotype002
GB0004,Genotype003
GB0033,Genotype003
GB0065,Genotype003
GB0090,Genotype003
GB0096,Genotype003
GB0210,Genotype003
GB0216,Genotype003
GB0320,Genotype003
GB0356,Genotype003
GB0361,Genotype003
GB0547,Genotype003
GH1685,Genotype003
GH1748,Genotype003
GH1754,Genotype003
GB0005,Genotype004
GB0021,Genotype004
GB0026,Genotype004
GB0029,Genotype004
GB0036,Genotype004
GB0037,Genotype004
GB0047,Genotype004
GB0049,Genotype004
GB0059,Genotype004
GB0060,Genotype004
GB0061,Genotype004
GB0064,Genotype004
GB0068,Genotype004
GB0069,Genotype004
GB0070,Genotype004
GB0071,Genotype004
GB0073,Genotype004
GB0074,Genotype004
GB0078,Genotype004
GB0079,Genotype004
GB0080,Genotype004
GB0081,Genotype004
GB0082,Genotype004
GB0083,Genotype004
GB0084,Genotype004
GB0085,Genotype004
GB0086,Genotype004
GB0087,Genotype004
GB0088,Genotype004
GB0091,Genotype004
GB0092,Genotype004
GB0093,Genotype004
GB0094,Genotype004
GB0097,Genotype004
GB0105,Genotype004
GB0106,Genotype004
GB0107,Genotype004
GB0112,Genotype004
GB0113,Genotype004
GB0114,Genotype004
GB0117,Genotype004
GB0118,Genotype004
GB0124,Genotype004
GB0125,Genotype004
GB0129,Genotype004
GB0131,Genotype004
GB0132,Genotype004
GB0133,Genotype004
GB0134,Genotype004
GB0135,Genotype004
GB0137,Genotype004
GB0138,Genotype004
GB0140,Genotype004
GB0141,Genotype004
GB0142,Genotype004
GB0143,Genotype004
GB0144,Genotype004
GB0146,Genotype004
GB0148,Genotype004
GB0150,Genotype004
GB0155,Genotype004
GB0157,Genotype004
GB0160,Genotype004
GB0161,Genotype004
GB0164,Genotype004
GB0166,Genotype004
GB0167,Genotype004
GB0168,Genotype004
GB0169,Genotype004
GB0170,Genotype004
GB0171,Genotype004
GB0175,Genotype004
GB0176,Genotype004
GB0177,Genotype004
GB0180,Genotype004
GB0182,Genotype004
GB0183,Genotype004
GB0185,Genotype004
GB0186,Genotype004
GB0187,Genotype004
GB0188,Genotype004
GB0191,Genotype004
GB0192,Genotype004
GB0193,Genotype004
GB0197,Genotype004
GB0198,Genotype004
GB0199,Genotype004
GB0201,Genotype004
GB0202,Genotype004
GB0203,Genotype004
GB0206,Genotype004
GB0209,Genotype004
GB0211,Genotype004
GB0212,Genotype004
GB0213,Genotype004
GB0215,Genotype004
GB0217,Genotype004
GB0219,Genotype004
GB0220,Genotype004
GB0222,Genotype004
GB0224,Genotype004
GB0225,Genotype004
GB0226,Genotype004
GB0227,Genotype004
GB0228,Genotype004
GB0230,Genotype004
GB0231,Genotype004
GB0232,Genotype004
GB0234,Genotype004
GB0235,Genotype004
GB0236,Genotype004
GB0240,Genotype004
GB0241,Genotype004
GB0243,Genotype004
GB0247,Genotype004
GB0250,Genotype004
GB0251,Genotype004
GB0252,Genotype004
GB0257,Genotype004
GB0259,Genotype004
GB0262,Genotype004
GB0264,Genotype004
GB0265,Genotype004
GB0268,Genotype004
GB0269,Genotype004
GB0270,Genotype004
GB0271,Genotype004
GB0272,Genotype004
GB0273,Genotype004
GB0274,Genotype004
GB0275,Genotype004
GB0276,Genotype004
GB0277,Genotype004
GB0278,Genotype004
GB0279,Genotype004
GB0280,Genotype004
GB0281,Genotype004
GB0282,Genotype004
GB0283,Genotype004
GB0284,Genotype004
GB0285,Genotype004
GB0286,Genotype004
GB0290,Genotype004
GB0291,Genotype004
GB0293,Genotype004
GB0294,Genotype004
GB0295,Genotype004
GB0296,Genotype004
GB0297,Genotype004
GB0298,Genotype004
GB0299,Genotype004
GB0300,Genotype004
GB0301,Genotype004
GB0305,Genotype004
GB0306,Genotype004
GB0307,Genotype004
GB0308,Genotype004
GB0309,Genotype004
GB0313,Genotype004
GB0314,Genotype004
GB0315,Genotype004
GB0317,Genotype004
GB0321,Genotype004
GB0322,Genotype004
GB0323,Genotype004
GB0326,Genotype004
GB0327,Genotype004
GB0328,Genotype004
GB0329,Genotype004
GB0331,Genotype004
GB0332,Genotype004
GB0336,Genotype004
GB0338,Genotype004
GB0341,Genotype004
GB0342,Genotype004
