Sample,Phenotype
GH0086,36.02148799
GH0087,33.96135928
GH0088,35.66849344
GH0089,33.87072555
GH0090,33.40205372
GH0091,34.64826761
GH0092,33.8295826
GH0093,37.51694466
GH0094,34.27380717
GH0095,33.70436494
GH0096,33.39489842
GH0097,33.54158197
GH0098,34.18376971
GH0104,34.3083911
GH0105,35.78476698
GH0106,33.67097356
GH0107,33.77234024
GH0108,32.89223895
GH0109,33.88265104
GH0110,33.31201626
GH0111,33.78605456
GH0112,33.25298507
GH0113,34.23504932
GH0114,33.45989235
GH0115,28.601447
GH0116,33.05502191
GH0117,32.55236243
GH0118,34.08180675
GH0120,32.50823811
GH0121,33.39668725
GH0123,34.74399922
GH0125,32.88925757
GH0126,32.91787875
GH0128,32.97989131
GH0129,32.73243736
GH0130,30.51249868
GH0131,32.41998947
GH0132,33.66202944
GH0133,31.91736743
GH0134,33.63102316
GH0135,35.29343672
GH0136,32.06461535
GH0137,29.62881182
GH0138,33.55470001
GH0139,28.32716069
GH0140,28.67836642
GH0141,31.97517864
GH0142,31.14127587
GH0143,31.87678332
GH0144,32.19221258
GH0145,33.23927076
GH0146,31.88095724
GH0147,30.6615757
GH0148,33.15400349
GH0149,35.12469101
GH0150,30.81362573
GH0151,32.01988922
GH0152,29.60877951
GH0153,33.81051591
GH0154,28.10296144
GH0155,29.5000328
GH0156,29.40880279
GH0157,32.46590261
GH0158,30.88100475
GH0159,29.6071098
GH0160,31.66868349
GH0161,29.72423205
GH0162,29.26627363
GH0163,29.45054201
GH0164,27.38206546
GH0165,31.62396289
GH0166,30.06499059
GH0167,28.32027551
GH0168,30.99399473
GH0169,31.63111819
GH0170,32.26287842
GH0171,28.26693695
GH0172,30.81958847
GH0174,27.31051251
GH0175,30.22956662
GH0176,29.84527579
GH0177,28.22579401
GH0178,27.94971887
GH0179,31.87141685
GH0180,32.10813786
GH0181,32.87971718
GH0182,30.55961275
GH0183,31.74172976
GH0184,30.73133983
GH0185,27.23961929
GH0186,31.85770253
GH0187,28.07970673
GH0188,31.56493171
GH0189,30.70212238
GH0190,29.31638023
GH0191,29.45352339
GH0192,32.2667469
GH0193,26.87523206
GH0194,31.77005306
GH0195,29.59800009
GH0196,28.33726949
GH0198,27.0400625
GH0199,31.2834901
GH0201,29.70574754
GH0202,28.40527266
GH0204,32.88687247
GH0205,26.80010146
GH0213,29.389722
GH0223,31.67941851
GH0226,29.00095097
GH0227,29.26627363
GH0237,26.56755437
GH0240,30.35986076
GH0250,30.57988609
GH0251,28.53168287
GH0255,29.19593276
GH0257,29.43384632
GH0258,27.8897614
GH0260,30.42366214
GH0262,32.43847398
GH0263,28.80177156
GH0264,29.1303218
GH0266,29.82321363
GH0267,29.41921943
GH0268,29.89374596
GH0269,26.45660259
GH0270,30.36164959
GH0271,31.57029818
GH0272,30.61387374
GH0273,30.34853155
GH0274,27.14202637
GH0275,28.21029087
GH0276,28.37125745
GH0277,32.73184108
GH0278,28.6038321
GH0279,28.06599242
GH0280,30.96061811
GH0282,28.54837856
GH0283,28.10501846
GH0284,30.93407319
GH0285,28.00875005
GH0286,30.19886662
GH0287,28.37486265
GH0288,28.2522996
GH0289,26.51687103
GH0290,31.27275716
GH0291,30.845181
GH0292,28.90373543
GH0293,28.51856483
GH0294,26.15637564
GH0295,27.91242004
GH0296,27.3295933
GH0298,28.39275089
GH0299,28.76303741
GH0300,30.03667993
GH0301,28.6765776
GH0302,28.32594017
GH0303,30.71076176
GH0304,32.24528102
GH0305,28.0475079
GH0306,30.3030426
GH0307,27.64618105
GH0308,31.14873204
GH0309,28.34862657
GH0310,28.16616655
GH0311,28.601447
GH0312,29.7182693
GH0313,28.73680133
GH0314,28.59767614
GH0315,31.78972723
GH0316,30.019847
GH0317,30.71945619
GH0318,27.37133252
GH0319,30.04860543
GH0320,33.65606669
GH0321,28.06479987
GH0322,29.75909899
GH0323,27.13878543
GH0324,27.6909357
GH0325,29.32592062
GH0326,28.24663494
GH0327,28.26157048
GH0328,28.38261422
GH0329,28.56385587
GH0330,27.93660083
GH0331,29.33424954
GH0332,28.75468957
GH0333,27.90320945
GH0334,29.2832676
GH0335,27.47624127
GH0336,30.1946927
GH0337,29.6878593
GH0338,28.31762029
GH0339,29.74331284
GH0341,27.72074943
GH0342,27.09525738
GH0343,28.65449042
GH0344,27.81007638
GH0345,30.17828378
GH0346,30.85834632
GH0347,28.57163327
GH0348,30.48417539
GH0349,27.77918434
GH0350,28.9303103
GH0351,28.48455063
GH0352,28.25501146
GH0353,28.69327328
GH0354,30.0492017
GH0355,28.47145914
GH0356,28.23891205
GH0357,31.49576386
GH0358,29.18130374
GH0359,25.9098635
GH0360,29.1019985
GH0361,27.97473129
GH0362,27.76300735
GH0363,27.93838965
GH0364,28.77854055
GH0365,27.82906028
GH0366,29.93590953
GH0367,29.13690158
GH0368,27.38560672
GH0369,28.23346424
GH0370,30.40696646
GH0371,26.76620865
GH0372,29.23795033
GH0373,29.5211833
GH0374,30.54628612
GH0375,28.28150273
GH0376,29.37890467
GH0377,30.29157697
GH0378,27.52184543
GH0379,29.49852466
GH0380,28.13456399
GH0381,26.11105837
GH0382,31.05452066
GH0383,25.58030703
GH0384,27.65184571
GH0385,33.00076092
GH0386,29.6479089
GH0387,28.11634778
GH0388,29.90638013
GH0389,28.14467107
GH0390,29.75881598
GH0391,29.63013729
GH0392,27.10237375
GH0393,27.83311481
GH0394,29.11113618
GH0395,26.76249419
GH0396,29.92696541
GH0397,29.41921943
GH0398,29.49407006
GH0399,27.76666257
GH0400,27.23240054
GH0401,29.87277777
GH0402,29.27193828
GH0403,28.55252655
GH0404,28.49587995
GH0405,27.7917061
GH0406,29.02835793
GH0407,29.92338776
GH0408,29.72511103
GH0409,29.72005813
GH0410,28.28184382
GH0411,28.72246633
GH0412,30.54589843
GH0413,32.13198884
GH0414,27.82178549
GH0415,29.60053642
GH0416,31.0626999
GH0417,28.6431611
GH0418,27.39127138
GH0420,27.8388118
GH0421,29.33307592
GH0422,28.33670108
GH0423,26.68885362
GH0424,29.44517554
GH0426,25.98285044
GH0427,25.72019687
